system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autorally,imu_3dm_gx4,imu_3dm_gx4,main,24.819623799994588,False,,1,19,6,0,0,0
autorally,joy,joy_node,main,20.072206999873742,False,,2,12,3,0,0,0
autorally,pointgrey_camera_driver,PointGreyCameraNodelet,pointgrey_camera_driver::PointGreyCameraNodelet::onInit,22.600762400077656,True,static recovery process failed,,,,,,
autorally,pointgrey_camera_driver,PointGreyStereoCameraNodelet,pointgrey_camera_driver::PointGreyStereoCameraNodelet::onInit,21.80023519997485,False,,1,10,2,0,0,0
autorally,pointgrey_camera_driver,pointgrey_camera_node,main,17.060495699988678,False,,1,1,1,0,0,0
autorally,pointgrey_camera_driver,pointgrey_stereo_node,main,17.2045374000445,False,,1,1,1,0,0,0
autorally,pointgrey_camera_driver,pointgrey_list_cameras,main,19.005348699865863,False,,1,0,0,0,0,0
autorally,autorally_core,gpsHemisphereInterface,main,21.64172390010208,False,,2,17,6,0,0,0
autorally,autorally_core,ocs,main,51.67505269986577,True,static recovery process failed,,,,,,
autorally,autorally_core,runStop,main,20.522720200009644,False,,2,5,2,0,0,0
autorally,autorally_core,xbeeCoordinator,main,40.21263789990917,False,,4,9,4,1,1,1
autorally,autorally_core,xbeeNode,main,38.80749989999458,False,,4,11,5,1,1,1
autorally,autorally_core,ImageRepublisher,autorally_core::ImageRepublisher::onInit,22.91112389997579,False,,1,2,0,0,0,0
autorally,autorally_core,StateEstimator,main,53.28649439988658,False,,2,46,9,0,0,0
autorally,autorally_core,AutoRallyChassis,autorally_core::AutoRallyChassis::onInit,24.13669509999454,False,,3,14,5,1,0,0
autorally,autorally_core,CameraTrigger,autorally_core::CameraTrigger::onInit,21.152392900083214,False,,1,1,0,0,0,0
autorally,autorally_core,CameraAutoBalancePtGrey,autorally_core::CameraAutoBalancePtGrey::onInit,22.385583200026304,False,,1,0,0,0,0,0
autorally,autorally_core,CameraAutoBalanceFLIR,autorally_core::CameraAutoBalanceFLIR::onInit,22.138020400190726,False,,1,0,0,0,0,0
autorally,autorally_core,WheelOdometry,main,17.913836699910462,False,,2,11,5,0,0,0
autorally,autorally_control,ConstantSpeedController,autorally_control::ConstantSpeedController::onInit,22.004902300192043,False,,3,16,3,0,1,0
autorally,autorally_control,joystickController,main,23.399225400062278,False,,2,13,4,0,0,0
autorally,autorally_control,gpsWaypoint,main,24.238943399861455,False,,2,10,6,0,0,0
autorally,autorally_control,path_integral_bf,main,75.53631650004536,True,static recovery process failed,,,,,,
autorally,autorally_control,path_integral_nn,main,67.97804130008444,True,static recovery process failed,,,,,,
autorally,autorally_control,path_integral_monitor,main,22.174998099915683,False,,2,3,2,0,0,0
autorally,effort_controllers,simple_bot_hw,main,21.533269500127062,False,,1,3,3,0,0,0
