system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,map_file,points_map_loader,main,46.613011999987066,False,,1,12,7,0,0,0
autoware,map_file,vector_map_loader,main,34.444326899945736,False,,1,39,35,0,0,0
autoware,map_file,points_map_filter,main,52.90965749998577,True,static recovery process failed,,,,,,
autoware,obj_db,obj_downloader,main,27.363442100118846,False,,1,2,2,0,0,0
autoware,obj_db,obj_uploader,main,27.044181499863043,False,,1,4,4,0,0,0
autoware,obj_db,can_uploader,main,32.9926575999707,False,,1,2,2,0,0,0
autoware,pos_db,pos_downloader,main,31.733314200071618,False,,1,12,2,0,0,0
autoware,pos_db,pos_uploader,main,29.142632599920034,False,,1,10,4,0,0,0
autoware,vector_map_server,vector_map_server,main,45.81316399993375,False,,29,60,29,0,0,0
autoware,vector_map_server,vector_map_client,main,36.07032150006853,False,,1,8,8,0,0,0
autoware,ymc,g30esli_interface,main,29.14034300018102,False,,1,10,4,0,0,0
autoware,as,pacmod_interface,main,33.17139959987253,True,static recovery process failed,,,,,,
autoware,autoware_driveworks_gmsl_interface,autoware_driveworks_gmsl_interface_node,main,33.830859599867836,True,static recovery process failed,,,,,,
autoware,autoware_driveworks_gmsl_interface,nodelet_autoware_driveworks_gmsl_interface,gmsl_camera::CameraNodelet::onInit,34.53352489997633,True,static recovery process failed,,,,,,
autoware,autoware_driveworks_interface,gmsl_interface,main,27.836312300059944,False,,1,1,1,0,0,0
autoware,autoware_driveworks_interface,tensorrt_interface,main,32.9882938999217,False,,1,1,1,0,0,0
autoware,calibration_camera_lidar,calibration_test,main,51.845348899951205,True,static recovery process failed,,,,,,
autoware,calibration_camera_lidar,calibration_toolkit,main,84.23042390006594,True,static recovery process failed,,,,,,
autoware,calibration_camera_lidar,calibration_publisher,main,32.47733040014282,False,,1,13,4,3,0,0
autoware,multi_lidar_calibrator,multi_lidar_calibrator,main,58.621197999920696,False,,1,1,1,0,0,0
autoware,scan2image,scan2image,main,30.533552199834958,False,,1,5,5,0,0,0
autoware,autoware_camera_lidar_calibrator,autoware_camera_lidar_calibration_node,main,44.9802081999369,False,,2,8,5,3,0,0
autoware,points2image,points2vscan,main,53.6085030999966,True,static recovery process failed,,,,,,
autoware,points2image,points2image,main,33.830068100010976,False,,1,8,5,3,0,0
autoware,points2image,vscan2image,main,33.27604099991731,False,,1,7,5,2,0,0
autoware,points2image,vscan2linelist,main,40.36465000011958,False,,1,3,3,0,0,0
autoware,kvaser,can_listener,main,28.828715299954638,False,,1,0,0,0,0,0
autoware,kvaser,can_converter,main,29.233937700046226,False,,1,2,2,0,0,0
autoware,kvaser,can_draw,main,30.558673500083387,False,,1,3,3,0,0,0
autoware,garmin,garmin_gps_18x_lvc,main,38.50270979991183,False,,2,6,3,0,0,0
autoware,memsic,vg440_node,main,37.407769199926406,False,,2,7,2,1,0,0
autoware,analog_devices,adis16470_node,main,30.541281400015578,False,,2,7,2,0,0,0
autoware,analog_devices,adxl345_node,main,34.40561030013487,True,static recovery process failed,,,,,,
autoware,microstrain,3dm_gx5_15_node,main,29.184471799992025,False,,1,1,1,0,0,0
autoware,microstrain,3dm_gx5_45_node,main,28.83675679983571,False,,1,1,1,0,0,0
autoware,driver,LDMRS_Example,main,244.34424440003932,True,static recovery process failed,,,,,,
autoware,sick_ldmrs_driver,LDMRS_Example,main,261.3490162999369,True,static recovery process failed,,,,,,
autoware,sick_ldmrs_driver,sick_ldmrs_node,main,53.23144799983129,False,,10,13,7,4,8,4
autoware,sick_ldmrs_tools,sick_ldmrs_object_marker,main,32.7787246000953,False,,1,3,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_filter_layer,main,42.68691630009562,False,,1,3,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_filter_first,main,43.266486200038344,False,,1,3,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_filter_last,main,41.65066959988326,False,,1,3,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_all_layer_assembler,main,61.50569689995609,False,,1,3,2,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_make_organized,main,44.681451299926266,False,,1,6,3,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_remove_background,main,41.86990849999711,False,,1,5,4,0,0,0
autoware,sick_ldmrs_tools,sick_ldmrs_print_resolution,main,40.38059219997376,False,,1,2,2,0,0,0
autoware,lms5xx,lms511_node,main,41.677620199974626,True,static recovery process failed,,,,,,
autoware,ouster,ouster_ros,main,54.93071320001036,True,static recovery process failed,,,,,,
autoware,rslidar_driver,rslidar_driver,rslidar_driver::DriverNodelet::onInit,83.20183910010383,True,static recovery process failed,,,,,,
autoware,rslidar_driver,rslidar_node,main,63.1921717999503,False,,3,3,2,1,2,1
