husky,all,Nodes,12,11,2,1,0.08333333333333333,0.16666666666666666,2,9,False,8,3,0
husky,all,Publishers,22,27,6,11,0.5,0.2727272727272727
husky,all,Subscribers,18,20,4,6,0.3333333333333333,0.2222222222222222
husky,all,Providers,43,46,3,6,0.13953488372093023,0.06976744186046512
husky,all,Action Clients,0,0,0,0,NaN,NaN
husky,all,Action Servers,0,1,0,1,NaN,NaN
husky,handwritten,Publishers,13,21,2,10,0.7692307692307693,0.15384615384615385
husky,handwritten,Subscribers,12,17,1,6,0.5,0.08333333333333333
husky,handwritten,Providers,39,42,3,6,0.15384615384615385,0.07692307692307693
husky,handwritten,Action Clients,0,0,0,0,NaN,NaN
husky,handwritten,Action Servers,0,1,0,1,NaN,NaN
husky,recovered,Publishers,7,6,2,1,0.14285714285714285,0.2857142857142857
husky,recovered,Subscribers,4,3,1,0,0.0,0.25
husky,recovered,Providers,4,4,0,0,0.0,0.0
husky,recovered,Action Clients,0,0,0,0,NaN,NaN
husky,recovered,Action Servers,0,0,0,0,NaN,NaN
husky,/amcl,recovered,Publishers,2,3,0,1,0.5,0.0
husky,/amcl,recovered,Subscribers,3,3,0,0,0.0,0.0
husky,/amcl,recovered,Providers,3,3,0,0,0.0,0.0
husky,/amcl,recovered,Action Clients,0,0,0,0,NaN,NaN
husky,/amcl,recovered,Action Servers,0,0,0,0,NaN,NaN
husky,/map_server,recovered,Publishers,2,2,0,0,0.0,0.0
husky,/map_server,recovered,Subscribers,0,0,0,0,NaN,NaN
husky,/map_server,recovered,Providers,1,1,0,0,0.0,0.0
husky,/map_server,recovered,Action Clients,0,0,0,0,NaN,NaN
husky,/map_server,recovered,Action Servers,0,0,0,0,NaN,NaN
husky,/twist_marker_server,recovered,Publishers,3,1,2,0,0.0,0.6666666666666666
husky,/twist_marker_server,recovered,Subscribers,1,0,1,0,0.0,1.0
husky,/twist_marker_server,recovered,Providers,0,0,0,0,NaN,NaN
husky,/twist_marker_server,recovered,Action Clients,0,0,0,0,NaN,NaN
husky,/twist_marker_server,recovered,Action Servers,0,0,0,0,NaN,NaN
