system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
husky,joint_trajectory_controller,rrbot,main,23.285272700013593,False,,2,6,5,0,0,0
husky,joint_trajectory_controller,rrbot_wrapping,main,22.27017609984614,True,static recovery process failed,,,,,,
husky,move_base,move_base_node,main,23.769494599895552,False,,1,1,1,0,0,0
husky,navfn,navfn_node,main,23.356292500160635,False,,3,5,3,0,0,0
husky,navfn,navtest,main,16.846584599930793,False,,1,0,0,0,0,0
husky,base_local_planner,point_grid,main,20.223026199964806,False,,1,0,0,0,0,0
husky,costmap_2d,costmap_2d_markers,main,18.57484759995714,False,,1,3,3,0,0,0
husky,costmap_2d,costmap_2d_cloud,main,18.717544599901885,False,,1,4,4,0,0,0
husky,costmap_2d,costmap_2d_node,main,23.674235200043768,False,,1,1,1,0,0,0
husky,velodyne_pointcloud,cloud_node,main,136.04182559996843,False,,2,4,3,0,0,0
husky,velodyne_pointcloud,ringcolors_node,main,64.86446959991008,False,,2,4,3,0,0,0
husky,velodyne_pointcloud,transform_node,main,215.68680420005694,False,,2,3,2,0,0,0
husky,velodyne_laserscan,velodyne_laserscan_node,main,19.388055799994618,False,,1,1,1,0,0,0
husky,velodyne_driver,velodyne_node,main,46.4110204000026,False,,2,10,2,0,0,0
husky,um7,um7_driver,main,30.751417899969965,False,,4,27,7,5,1,0
husky,um6,um6_driver,main,28.97664100001566,False,,4,29,7,5,0,0
husky,twist_mux,twist_mux,main,35.767781799891964,False,,16,20,4,2,6,1
husky,twist_mux,twist_marker,main,19.34362559998408,False,,2,4,3,0,0,0
husky,pointcloud_to_laserscan,laserscan_to_pointcloud_node,main,19.636383299948648,False,,1,2,1,0,0,0
husky,pointcloud_to_laserscan,pointcloud_to_laserscan_node,main,19.022156700026244,False,,1,2,1,0,0,0
husky,imu_transformer,imu_transformer_nodelet,imu_transformer::ImuTransformerNodelet::onInit,30.118162399856374,False,,3,4,3,0,2,3
husky,imu_transformer,imu_transformer_node,main,19.910073000006378,False,,1,1,1,0,0,0
husky,tf2_relay,tf2_relay_node,main,19.544276299886405,False,,1,8,1,0,0,0
