turtlebot,all,Nodes,13,14,1,2,0.15384615384615385,0.07692307692307693,2,2,True,8,4,0
turtlebot,all,Publishers,42,39,5,2,0.047619047619047616,0.11904761904761904
turtlebot,all,Subscribers,31,28,5,2,0.06451612903225806,0.16129032258064516
turtlebot,all,Providers,35,34,1,0,0.0,0.02857142857142857
turtlebot,all,Action Clients,0,0,0,0,NaN,NaN
turtlebot,all,Action Servers,1,1,0,0,0.0,0.0
turtlebot,handwritten,Publishers,31,29,3,1,0.03225806451612903,0.0967741935483871
turtlebot,handwritten,Subscribers,13,12,2,1,0.07692307692307693,0.15384615384615385
turtlebot,handwritten,Providers,31,30,1,0,0.0,0.03225806451612903
turtlebot,handwritten,Action Clients,0,0,0,0,NaN,NaN
turtlebot,handwritten,Action Servers,1,1,0,0,0.0,0.0
turtlebot,recovered,Publishers,4,5,0,1,0.25,0.0
turtlebot,recovered,Subscribers,2,2,1,1,0.5,0.5
turtlebot,recovered,Providers,4,4,0,0,0.0,0.0
turtlebot,recovered,Action Clients,0,0,0,0,NaN,NaN
turtlebot,recovered,Action Servers,0,0,0,0,NaN,NaN
turtlebot,/bumper2pointcloud,recovered,Publishers,0,0,0,0,NaN,NaN
turtlebot,/bumper2pointcloud,recovered,Subscribers,0,0,0,0,NaN,NaN
turtlebot,/bumper2pointcloud,recovered,Providers,0,0,0,0,NaN,NaN
turtlebot,/bumper2pointcloud,recovered,Action Clients,0,0,0,0,NaN,NaN
turtlebot,/bumper2pointcloud,recovered,Action Servers,0,0,0,0,NaN,NaN
turtlebot,/depthimage_to_laserscan,recovered,Publishers,0,0,0,0,NaN,NaN
turtlebot,/depthimage_to_laserscan,recovered,Subscribers,0,0,0,0,NaN,NaN
turtlebot,/depthimage_to_laserscan,recovered,Providers,0,0,0,0,NaN,NaN
turtlebot,/depthimage_to_laserscan,recovered,Action Clients,0,0,0,0,NaN,NaN
turtlebot,/depthimage_to_laserscan,recovered,Action Servers,0,0,0,0,NaN,NaN
turtlebot,/map_server,recovered,Publishers,2,2,0,0,0.0,0.0
turtlebot,/map_server,recovered,Subscribers,0,0,0,0,NaN,NaN
turtlebot,/map_server,recovered,Providers,1,1,0,0,0.0,0.0
turtlebot,/map_server,recovered,Action Clients,0,0,0,0,NaN,NaN
turtlebot,/map_server,recovered,Action Servers,0,0,0,0,NaN,NaN
turtlebot,/amcl,recovered,Publishers,2,3,0,1,0.5,0.0
turtlebot,/amcl,recovered,Subscribers,2,2,1,1,0.5,0.5
turtlebot,/amcl,recovered,Providers,3,3,0,0,0.0,0.0
turtlebot,/amcl,recovered,Action Clients,0,0,0,0,NaN,NaN
turtlebot,/amcl,recovered,Action Servers,0,0,0,0,NaN,NaN
