system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
husky,joint_trajectory_controller,rrbot,main,21.03529502,FALSE,,2,6,5,0,0,0
husky,joint_trajectory_controller,rrbot_wrapping,main,20.48680267,TRUE,static recovery process failed,,,,,,
husky,move_base,move_base_node,main,24.95687795,FALSE,,1,1,1,0,0,0
husky,navfn,navfn_node,main,25.78685975,FALSE,,3,5,3,0,0,0
husky,navfn,navtest,main,12.96332831,FALSE,,1,0,0,0,0,0
husky,base_local_planner,point_grid,main,19.23025775,FALSE,,1,0,0,0,0,0
husky,costmap_2d,costmap_2d_markers,main,20.06816255,FALSE,,1,3,3,0,0,0
husky,costmap_2d,costmap_2d_cloud,main,19.97123233,FALSE,,1,4,4,0,0,0
husky,costmap_2d,costmap_2d_node,main,29.0116066,FALSE,,1,1,1,0,0,0
husky,velodyne_pointcloud,cloud_node,main,203.4378806,FALSE,,2,4,3,0,0,0
husky,velodyne_pointcloud,ringcolors_node,main,95.5666759,FALSE,,2,4,3,0,0,0
husky,velodyne_pointcloud,transform_node,main,330.8477148,TRUE,static recovery process failed,,,,,,
husky,velodyne_laserscan,velodyne_laserscan_node,main,19.32456988,FALSE,,1,1,1,0,0,0
husky,velodyne_driver,velodyne_node,main,49.99116914,FALSE,,2,10,2,0,0,0
husky,um7,um7_driver,main,26.78549919,FALSE,,4,27,7,0,1,0
husky,um6,um6_driver,main,24.90163139,FALSE,,4,29,7,0,0,0
husky,twist_mux,twist_mux,main,38.24268314,FALSE,,16,20,4,2,6,1
husky,twist_mux,twist_marker,main,14.37519406,FALSE,,2,4,3,0,0,0
husky,pointcloud_to_laserscan,laserscan_to_pointcloud_node,main,14.70607589,FALSE,,1,2,1,0,0,0
husky,pointcloud_to_laserscan,pointcloud_to_laserscan_node,main,13.60096972,FALSE,,1,2,1,0,0,0
husky,imu_transformer,imu_transformer_nodelet,imu_transformer::ImuTransformerNodelet::onInit,26.11357365,TRUE,static recovery process failed,,,,,,
husky,imu_transformer,imu_transformer_node,main,13.70822526,FALSE,,1,1,1,0,0,0
husky,tf2_relay,tf2_relay_node,main,13.3844977,FALSE,,1,8,1,0,0,0
husky,clock_relay,clock_relay_node,main,14.71271395,FALSE,,1,6,1,0,0,0
husky,message_relay,message_relay_node,main,16.09677061,TRUE,static recovery process failed,,,,,,
husky,robot_localization,ekf_localization_node,main,21.22259139,FALSE,,1,1,1,0,0,0
husky,robot_localization,ukf_localization_node,main,21.14584441,FALSE,,1,4,1,0,0,0
husky,robot_localization,navsat_transform_node,main,20.05551201,FALSE,,1,1,1,0,0,0
husky,robot_localization,robot_localization_listener_node,main,18.79497749,FALSE,,3,4,2,0,0,0
husky,robot_localization,test_ros_robot_localization_listener_publisher,main,13.30578037,FALSE,,1,3,3,0,0,0
husky,imu_filter_madgwick,imu_filter_node,main,15.25857785,FALSE,,1,1,1,0,0,0
husky,amcl,amcl,main,24.18088386,FALSE,,10,78,17,0,2,7
husky,microstrain_3dmgx2_imu,imu_node,main,17.12849817,FALSE,,4,18,6,3,0,0
husky,microstrain_3dmgx2_imu,get_id,main,10.10489704,FALSE,,1,0,0,0,0,0
husky,interactive_marker_twist_server,interactive_marker_twist_server,main,16.0246322,FALSE,,2,15,2,0,0,0
husky,gmapping,slam_gmapping,main,57.61178253,FALSE,,6,50,10,0,3,4
husky,gmapping,slam_gmapping_replay,main,60.17543971,FALSE,,6,50,10,0,3,5
husky,microstrain_mips,GX4-45_Test,main,14.72713089,FALSE,,1,0,0,0,0,0
husky,microstrain_mips,microstrain_mips_node,main,32.31726587,FALSE,,2,2,2,0,1,1
husky,microstrain_mips,set_accel_bias_client,main,11.94294603,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,get_accel_bias_client,main,12.04798056,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,set_gyro_bias_client,main,12.18104111,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,get_gyro_bias_client,main,12.02304414,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,set_hard_iron_values_client,main,11.89623439,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,get_hard_iron_values_client,main,12.43296663,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,device_report_client,main,11.88426368,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,gyro_bias_capture_client,main,12.26244279,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,set_soft_iron_matrix_client,main,12.41434093,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,get_soft_iron_matrix_client,main,12.32174293,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,set_complementary_filter_client,main,12.39253263,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,get_complementary_filter_client,main,12.52220313,FALSE,,1,2,2,0,0,0
husky,microstrain_mips,set_filter_euler_client,main,12.61951697,FALSE,,1,2,2,0,0,0
