Subject,Case,Kind,# observed,# recovered,# obs ! rec,# rec ! obs,over_approx,under_approx,# errors observed,# errors recovered,overlap matches,#handwritten,#recovered,# placeholders
AutoRally,all,Nodes,11,12,0,1,0.090909091,0,6,8,FALSE,8,4,0
AutoRally,all,Publishers,44,44,0,0,0,0,,,,,,
AutoRally,all,Subscribers,28,29,0,1,0.035714286,0,,,,,,
AutoRally,all,Providers,37,38,0,1,0.027027027,0,,,,,,
AutoRally,all,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,all,Action Servers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,handwritten,Publishers,39,39,0,0,0,0,,,,,,
AutoRally,handwritten,Subscribers,23,24,0,1,0.043478261,0,,,,,,
AutoRally,handwritten,Providers,37,38,0,1,0.027027027,0,,,,,,
AutoRally,handwritten,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,handwritten,Action Servers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,recovered,Publishers,5,5,0,0,0,0,,,,,,
AutoRally,recovered,Subscribers,5,5,0,0,0,0,,,,,,
AutoRally,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
,,,,,,,,,,,,,,
Husky,all,Nodes,12,11,2,1,0.083333333,0.166666667,2,9,FALSE,8,3,0
Husky,all,Publishers,22,27,6,11,0.5,0.272727273,,,,,,
Husky,all,Subscribers,18,20,4,6,0.333333333,0.222222222,,,,,,
Husky,all,Providers,43,46,3,6,0.139534884,0.069767442,,,,,,
Husky,all,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,all,Action Servers,0,1,0,1,NaN,NaN,,,,,,
Husky,handwritten,Publishers,13,21,2,10,0.769230769,0.153846154,,,,,,
Husky,handwritten,Subscribers,12,17,1,6,0.5,0.083333333,,,,,,
Husky,handwritten,Providers,39,42,3,6,0.153846154,0.076923077,,,,,,
Husky,handwritten,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,handwritten,Action Servers,0,1,0,1,NaN,NaN,,,,,,
Husky,recovered,Publishers,7,6,2,1,0.142857143,0.285714286,,,,,,
Husky,recovered,Subscribers,4,3,1,0,0,0.25,,,,,,
Husky,recovered,Providers,4,4,0,0,0,0,,,,,,
Husky,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
,,,,,,,,,,,,,,
TurtleBot,all,Nodes,13,14,1,2,0.153846154,0.076923077,2,2,TRUE,8,4,0
TurtleBot,all,Publishers,42,39,5,2,0.047619048,0.119047619,,,,,,
TurtleBot,all,Subscribers,31,28,5,2,0.064516129,0.161290323,,,,,,
TurtleBot,all,Providers,35,34,1,0,0,0.028571429,,,,,,
TurtleBot,all,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,all,Action Servers,1,1,0,0,0,0,,,,,,
TurtleBot,handwritten,Publishers,31,29,3,1,0.032258065,0.096774194,,,,,,
TurtleBot,handwritten,Subscribers,13,12,2,1,0.076923077,0.153846154,,,,,,
TurtleBot,handwritten,Providers,31,30,1,0,0,0.032258065,,,,,,
TurtleBot,handwritten,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,handwritten,Action Servers,1,1,0,0,0,0,,,,,,
TurtleBot,recovered,Publishers,4,5,0,1,0.25,0,,,,,,
TurtleBot,recovered,Subscribers,2,2,1,1,0.5,0.5,,,,,,
TurtleBot,recovered,Providers,4,4,0,0,0,0,,,,,,
TurtleBot,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
