Handwritten Node,Type,Kind,Reason Used
spawn_turtlebot_model,spawner,Simulation,Loads robot model
gazebo_gui,,Simulation,
robot_state_publisher,,Core,Clang parsing issue
gazebo,,Simulation,
cmd_vel_mux,,Core,Reads interfaces from configuration parameters
move_base,,Core,Plugin architecture
spawn_platform,spawner,Simulation,Loads Gazebo Plugins
gazebo_gui,,Simulation,
autorally_state_publisher,,Simulation,Python
gazebo,,Simulation,
autorally_controller,,Simulation,Python
ground_truth_republisher,,Simulation,Python
controller_spawner,spawner,Simulation,
move_base,,Core,Plugin architecture
robot_state_publisher,,Core,Clang parsing issue
gazebo,,Simulation,Complex system
twist_mux,,Core,Reads interfaces from configuration parameters
base_controller_spawner,spawner,Simulation,Loads gazebo plugins
spawn_husky_model,spawner,Simulation,Loads gazebo plugins
gazebo_gui,,Simulation,Complex system
twist_marker_server,,,Uses third party library not processed in source path.
