system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
turtlebot,zeroconf_avahi,zeroconf,main,18.562372086104006,False,,10,72,22,0,2,4
turtlebot,yocs_virtual_sensor,_node,main,18.752024612156674,False,,5,74,10,1,0,0
turtlebot,warehouse_ros,warehouse_test_dbloader,main,16.039694174891338,False,,1,2,2,0,0,0
turtlebot,move_base,move_base_node,main,19.68673855997622,False,,1,2,2,0,0,0
turtlebot,global_planner,planner,main,20.449209545040503,False,,4,44,6,0,0,0
turtlebot,navfn,navfn_node,main,28.64215453201905,False,,4,44,6,0,0,0
turtlebot,navfn,navtest,main,9.221597406081855,False,,1,0,0,0,0,0
turtlebot,base_local_planner,point_grid,main,29.075319787021726,False,,1,0,0,0,0,0
turtlebot,costmap_2d,costmap_2d_markers,main,14.617430701851845,False,,2,51,8,0,0,0
turtlebot,costmap_2d,costmap_2d_cloud,main,14.521503473864868,False,,2,45,12,0,0,0
turtlebot,costmap_2d,costmap_2d_node,main,19.302756377030164,False,,1,2,2,0,0,0
turtlebot,turtlebot_teleop,turtlebot_teleop_joy,main,15.18190914299339,False,,4,45,8,0,0,0
turtlebot,turtlebot_navigation,laser_footprint_filter,main,17.842375212116167,False,,3,31,8,0,0,0
turtlebot,turtlebot_actions,turtlebot_move_action_server,main,18.985088360030204,False,,5,68,10,0,3,6
turtlebot,turtlebot_actions,find_fiducial_pose,main,29.498076857067645,False,,4,17,7,0,3,5
turtlebot,stdr_gui,stdr_gui_node,main,605.7387527679093,False,,33,300,54,17,32,52
turtlebot,stdr_server,stdr_server_node,main,18.944430361967534,False,,1,2,2,0,0,0
turtlebot,stdr_server,load_map,main,14.65596321807243,False,,1,7,3,0,0,0
turtlebot,stdr_robot,robot_handler,main,18.060497598024085,False,,1,11,2,0,0,0
turtlebot,robot_pose_publisher,src/robot_pose_publisher.cpp,main,7.850926962913945,True,src/robot_pose_publisher.cpp is not in the CMakeLists.txt of package 'robot_pose_publisher,,,,,,
turtlebot,robot_pose_ekf,robot_pose_ekf,main,62.24267371604219,False,,8,132,14,2,0,0
turtlebot,robot_pose_ekf,test_robot_pose_ekf,main,17.06330048898235,False,,5,43,8,2,4,6
turtlebot,robot_pose_ekf,test_robot_pose_ekf_zero_covariance,main,16.61425224202685,False,,3,15,6,0,2,4
turtlebot,realsense_camera,get_debug_info,main,15.012640172848478,False,,1,69,2,0,0,0
turtlebot,realsense_camera,tests_camera_core,main,31.20306531409733,False,,6,58,23,13,4,8
turtlebot,realsense_camera,tests_rgbd_topics,main,26.86293930397369,False,,2,44,30,28,0,0
turtlebot,gmapping,slam_gmapping,main,47.477272496093065,False,,10,257,30,3,4,11
turtlebot,gmapping,slam_gmapping_replay,main,48.818322267150506,False,,10,257,30,3,4,15
turtlebot,fake_localization,fake_localization,main,20.533994774799794,False,,5,86,22,4,0,0
turtlebot,amcl,amcl,main,36.71990891592577,True,'ServiceProvider' object has no attribute 'topic',,,,,,
turtlebot,openni2_camera,test_wrapper,main,14.95222096494399,False,,1,0,0,0,0,0
turtlebot,openni2_camera,openni2_camera_node,main,15.5203229309991,False,,1,2,2,0,0,0
turtlebot,openni2_camera,list_devices,main,10.985466071870178,False,,1,0,0,0,0,0
turtlebot,openni2_camera,usb_reset,main,7.705447918036953,False,,1,0,0,0,0,0
turtlebot,joy,joy_node,main,20.815286380937323,False,,2,69,10,0,0,0
turtlebot,freenect_camera,freenect_node,main,14.081067784922197,False,,1,2,2,0,0,0
turtlebot,depthimage_to_laserscan,DepthImageToLaserScanNodelet,depthimage_to_laserscan::DepthImageToLaserScanNodelet::onInit,16.533226000145078,False,,1,0,0,0,0,0
turtlebot,depthimage_to_laserscan,depthimage_to_laserscan,main,16.510143736144528,False,,1,2,2,0,0,0
turtlebot,astra_camera,astra_camera_node,main,15.264412168879062,False,,1,2,2,0,0,0
turtlebot,astra_camera,astra_list_devices,main,10.884656592039391,False,,1,0,0,0,0,0
turtlebot,astra_camera,astra_test_wrapper,main,14.84788140305318,False,,1,0,0,0,0,0
turtlebot,astra_camera,astra_usb_reset,main,8.187297337921336,False,,1,0,0,0,0,0
turtlebot,map_server,map_server,main,17.443450242979452,False,,3,46,12,0,0,0
turtlebot,map_server,map_server-map_saver,main,14.30876951594837,False,,3,14,4,0,0,0
turtlebot,map_server,rtest,main,42.6595733279828,True,static recovery process failed: DEBUG: finding ROS API calls...,,,,,,
turtlebot,kobuki_keyop,keyop,main,23.912652977975085,False,,6,84,18,0,1,3
